date,store,product,sales,price,category
2023-01-01,Store_A,Ramen_Noodles,100,2.5,Food
2023-01-01,Store_A,Coffee,174,3.0,Food
2023-01-01,Store_A,Bottled_Water,109,1.2,Food
2023-01-01,Store_A,Energy_Drink,168,4.5,Beverage
2023-01-01,Store_A,Chips,137,3.5,Snack
2023-01-01,Store_A,Chocolate,80,2.0,Snack
2023-01-01,Store_A,Cookies,164,2.8,Snack
2023-01-01,Store_A,Soda,124,1.8,Beverage
2023-01-01,Store_A,Juice,83,2.2,Beverage
2023-01-01,Store_A,Sandwich,138,4.0,Food
2023-01-01,Store_B,Ramen_Noodles,162,2.5,Food
2023-01-01,Store_B,Coffee,158,3.0,Food
2023-01-01,Store_B,Bottled_Water,102,1.2,Food
2023-01-01,Store_B,Energy_Drink,82,4.5,Beverage
2023-01-01,Store_B,Chips,99,3.5,Snack
2023-01-01,Store_B,Chocolate,140,2.0,Snack
2023-01-01,Store_B,Cookies,111,2.8,Snack
2023-01-01,Store_B,Soda,140,1.8,Beverage
2023-01-01,Store_B,Juice,120,2.2,Beverage
2023-01-01,Store_B,Sandwich,90,4.0,Food
2023-01-01,Store_C,Ramen_Noodles,149,2.5,Food
2023-01-01,Store_C,Coffee,108,3.0,Food
2023-01-01,Store_C,Bottled_Water,133,1.2,Food
2023-01-01,Store_C,Energy_Drink,143,4.5,Beverage
2023-01-01,Store_C,Chips,184,3.5,Snack
2023-01-01,Store_C,Chocolate,126,2.0,Snack
2023-01-01,Store_C,Cookies,148,2.8,Snack
2023-01-01,Store_C,Soda,105,1.8,Beverage
2023-01-01,Store_C,Juice,190,2.2,Beverage
2023-01-01,Store_C,Sandwich,100,4.0,Food
2023-01-01,Store_D,Ramen_Noodles,169,2.5,Food
2023-01-01,Store_D,Coffee,157,3.0,Food
2023-01-01,Store_D,Bottled_Water,176,1.2,Food
2023-01-01,Store_D,Energy_Drink,116,4.5,Beverage
2023-01-01,Store_D,Chips,100,3.5,Snack
2023-01-01,Store_D,Chocolate,126,2.0,Snack
2023-01-01,Store_D,Cookies,127,2.8,Snack
2023-01-01,Store_D,Soda,91,1.8,Beverage
2023-01-01,Store_D,Juice,172,2.2,Beverage
2023-01-01,Store_D,Sandwich,176,4.0,Food
2023-01-02,Store_A,Ramen_Noodles,76,2.5,Food
2023-01-02,Store_A,Coffee,152,3.0,Food
2023-01-02,Store_A,Bottled_Water,150,1.2,Food
2023-01-02,Store_A,Energy_Drink,79,4.5,Beverage
2023-01-02,Store_A,Chips,86,3.5,Snack
2023-01-02,Store_A,Chocolate,145,2.0,Snack
2023-01-02,Store_A,Cookies,106,2.8,Snack
2023-01-02,Store_A,Soda,143,1.8,Beverage
